variant,connections,train_best,gens_to_positive,held_out_fitness,held_out_food,held_out_collisions,held_out_ticks,held_out_distance
real,5905,55.63333333333335,3,29.060000000000024,14,0,370.0,51.81405878911211
random,5905,53.966666666666676,8,26.660000000000025,18,185,382.6,43.25188032136391
shuffled,5905,79.89999999999996,6,42.72000000000001,24,175,380.2,49.524049176945816
dense,3709,71.86666666666666,1,35.8,22,353,384.2,45.71746164599383
