generation,best,mean,worst
0,-6.933333333333327,-35.7925,-68.03333333333332
1,-2.0666666666666678,-23.874166666666667,-50.53333333333333
2,-2.0666666666666678,-25.645833333333332,-53.53333333333333
3,0.16666666666666666,-23.89833333333333,-51.49999999999998
4,0.30000000000000004,-19.491666666666667,-43.800000000000004
5,0.9,-21.999999999999996,-66.33333333333333
6,0.9,-21.816666666666666,-49.300000000000004
7,0.9,-19.245,-49.29999999999999
8,0.9,-22.240833333333335,-67.66666666666667
9,5.766666666666665,-21.430833333333332,-49.66666666666666
10,5.766666666666665,-17.82333333333333,-50.433333333333316
11,5.766666666666665,-19.041666666666664,-70.89999999999999
12,5.766666666666665,-23.015833333333333,-61.63333333333333
13,5.766666666666665,-21.520833333333332,-61.06666666666666
14,5.766666666666665,-17.85833333333333,-58.633333333333326
15,5.766666666666665,-18.876666666666665,-49.93333333333333
16,5.766666666666665,-17.2275,-61.26666666666667
17,5.766666666666665,-14.415833333333333,-42.1
18,5.766666666666665,-17.90833333333333,-52.46666666666666
19,5.766666666666665,-11.059166666666666,-44.73333333333333
20,5.766666666666665,-14.804166666666665,-71.26666666666667
21,5.766666666666665,-15.208333333333332,-57.36666666666667
22,5.766666666666665,-14.449166666666667,-53.833333333333336
23,5.766666666666665,-13.740833333333336,-48.333333333333336
24,5.766666666666665,-16.429166666666667,-78.8
