generation,best,mean,worst
0,-18.866666666666667,-25.581666666666663,-45.333333333333336
1,-18.3,-22.605833333333333,-44.46666666666667
2,-18.1,-20.05333333333333,-32.233333333333334
3,-18.1,-20.48916666666667,-28.866666666666664
4,-14.766666666666666,-19.575833333333332,-33.1
5,1.6000000000000012,-18.265833333333337,-30.466666666666665
6,1.6000000000000012,-19.37833333333333,-47.56666666666667
7,1.6000000000000012,-21.53,-48.23333333333334
8,1.6000000000000012,-18.9625,-45.0
9,1.6000000000000012,-17.744166666666665,-50.166666666666664
10,1.6000000000000012,-15.979166666666668,-42.699999999999996
11,1.6000000000000012,-15.974166666666667,-44.13333333333333
12,1.6000000000000012,-15.01,-38.666666666666664
13,1.6000000000000012,-12.758333333333333,-24.400000000000002
14,1.6000000000000012,-14.017499999999998,-39.63333333333333
15,2.7000000000000015,-13.708333333333332,-45.199999999999996
16,2.7000000000000015,-13.744166666666667,-44.4
17,2.7000000000000015,-13.657499999999999,-44.96666666666667
18,2.7000000000000015,-14.741666666666669,-40.6
19,4.400000000000001,-12.068333333333332,-37.266666666666666
20,4.400000000000001,-14.573333333333329,-45.03333333333333
21,4.400000000000001,-13.267499999999998,-40.83333333333333
22,4.400000000000001,-13.345833333333331,-43.63333333333333
23,4.400000000000001,-14.364999999999998,-45.56666666666666
24,4.400000000000001,-15.680833333333334,-39.1
