generation,best,mean,worst
0,-14.066666666666663,-24.95,-47.666666666666664
1,-14.066666666666663,-22.389999999999997,-32.93333333333333
2,-14.066666666666663,-23.154999999999998,-45.833333333333336
3,-3.7999999999999994,-22.254166666666666,-45.76666666666667
4,-3.7999999999999994,-23.735833333333332,-52.06666666666667
5,-1.866666666666668,-19.276666666666664,-47.76666666666667
6,-0.6666666666666665,-17.99583333333333,-39.63333333333333
7,-0.6666666666666665,-18.139166666666664,-38.266666666666666
8,-0.6666666666666665,-18.6625,-48.800000000000004
9,3.0333333333333328,-15.2125,-45.73333333333334
10,3.0333333333333328,-13.836666666666668,-48.400000000000006
11,3.0333333333333328,-13.430000000000001,-39.03333333333334
12,3.0333333333333328,-12.7575,-19.866666666666664
13,3.933333333333333,-12.203333333333333,-44.333333333333336
14,3.933333333333333,-12.873333333333331,-45.699999999999996
15,3.933333333333333,-12.753333333333334,-20.3
16,3.933333333333333,-12.3275,-44.199999999999996
17,3.933333333333333,-12.031666666666666,-46.93333333333334
18,3.933333333333333,-11.010833333333334,-19.9
19,3.933333333333333,-11.743333333333334,-32.9
20,3.933333333333333,-12.760833333333334,-50.666666666666664
21,3.933333333333333,-12.859166666666667,-49.06666666666666
22,3.933333333333333,-13.930833333333334,-32.43333333333333
23,4.499999999999999,-11.0275,-33.666666666666664
24,4.499999999999999,-13.784166666666668,-44.333333333333336
