generation,best,mean,worst
0,-13.966666666666667,-24.351666666666667,-45.833333333333336
1,-13.833333333333329,-23.890833333333333,-45.96666666666667
2,-6.966666666666665,-21.6375,-41.86666666666667
3,-5.666666666666663,-22.6625,-46.96666666666667
4,-4.766666666666667,-23.27,-51.79999999999999
5,-2.866666666666667,-20.0875,-45.79999999999999
6,-2.866666666666667,-18.258333333333333,-32.800000000000004
7,-1.4333333333333333,-18.675,-45.76666666666667
8,-1.4333333333333333,-15.829166666666666,-37.733333333333334
9,-1.4333333333333333,-16.598333333333336,-36.166666666666664
10,-1.4333333333333333,-15.591666666666669,-43.833333333333336
11,0.0666666666666665,-16.715833333333332,-48.800000000000004
12,4.566666666666667,-16.071666666666665,-48.666666666666664
13,5.033333333333332,-13.205833333333334,-46.5
14,5.7,-10.395833333333334,-42.96666666666667
15,5.7,-14.223333333333333,-43.666666666666664
16,5.7,-13.938333333333333,-49.36666666666667
17,7.166666666666667,-11.567499999999999,-48.86666666666667
18,7.166666666666667,-14.061666666666667,-44.4
19,7.166666666666667,-11.650833333333333,-42.36666666666667
20,7.166666666666667,-10.550833333333333,-23.8
21,7.166666666666667,-9.813333333333333,-32.333333333333336
22,7.166666666666667,-10.067499999999999,-24.666666666666668
23,7.166666666666667,-10.990833333333333,-31.399999999999995
24,7.166666666666667,-10.053333333333331,-22.399999999999995
