generation,best,mean,worst
0,-18.599999999999998,-33.27583333333333,-71.66666666666667
1,-18.066666666666666,-22.108333333333334,-36.93333333333333
2,-18.03333333333333,-23.375,-45.699999999999996
3,-9.3,-23.653333333333332,-48.9
4,-0.7333333333333322,-24.138333333333332,-51.43333333333334
5,-0.7333333333333322,-23.786666666666665,-53.73333333333333
6,1.133333333333332,-23.865833333333335,-50.23333333333333
7,1.133333333333332,-22.753333333333334,-47.86666666666667
8,1.133333333333332,-21.886666666666667,-48.93333333333333
9,1.133333333333332,-24.639166666666664,-58.36666666666667
10,1.133333333333332,-22.21333333333333,-51.06666666666666
11,1.133333333333332,-22.8925,-52.26666666666666
12,1.133333333333332,-19.105,-37.233333333333334
13,1.133333333333332,-21.252499999999998,-49.333333333333336
14,1.133333333333332,-18.325833333333332,-33.0
15,1.133333333333332,-19.085833333333333,-40.4
16,1.133333333333332,-19.458333333333332,-49.76666666666667
17,1.133333333333332,-20.414166666666667,-54.09999999999999
18,1.133333333333332,-19.4,-52.6
19,5.833333333333336,-18.166666666666668,-52.4
20,5.833333333333336,-16.845,-32.13333333333333
21,5.833333333333336,-19.109999999999996,-64.23333333333332
22,5.833333333333336,-19.981666666666666,-59.23333333333333
23,5.833333333333336,-19.165,-33.0
24,5.833333333333336,-18.34583333333333,-50.46666666666664
