generation,best,mean
0,-8.766666666666667,-22.4175
1,1.3999999999999992,-20.64666666666667
2,12.466666666666669,-18.575833333333332
3,26.033333333333342,-10.556666666666667
4,35.56666666666668,-4.572499999999997
5,50.50000000000003,-4.289999999999997
6,50.50000000000003,-2.227499999999998
7,50.50000000000003,4.049166666666672
8,50.80000000000003,1.0433333333333388
9,54.26666666666669,10.526666666666674
10,61.566666666666684,16.003333333333345
11,61.566666666666684,16.22916666666668
12,61.566666666666684,13.713333333333342
13,61.566666666666684,19.048333333333346
14,61.566666666666684,16.505000000000006
15,61.63333333333335,16.991666666666678
16,61.63333333333335,22.802500000000016
17,66.46666666666668,22.926666666666684
18,66.46666666666668,21.202500000000008
19,66.46666666666668,23.467500000000012
20,66.46666666666668,32.44250000000001
21,66.46666666666668,27.032500000000017
22,71.86666666666666,25.97750000000001
23,71.86666666666666,27.10250000000001
24,71.86666666666666,18.171666666666674
