generation,best,mean,worst
0,1.7000000000000004,-22.523333333333333,-65.69999999999999
1,2.766666666666668,-11.7,-41.76666666666666
2,3.033333333333335,-12.60333333333333,-58.43333333333334
3,3.033333333333335,-17.751666666666665,-59.066666666666656
4,3.033333333333335,-9.396666666666667,-56.36666666666667
5,3.033333333333335,-10.474166666666665,-44.06666666666666
6,3.1666666666666696,-8.675833333333333,-45.133333333333326
7,3.1666666666666696,-9.692499999999997,-45.56666666666666
8,3.1666666666666696,-11.827499999999997,-53.9
9,3.1666666666666696,-8.454166666666666,-44.73333333333333
10,3.833333333333331,-6.058333333333332,-63.666666666666664
11,5.733333333333334,-9.174166666666666,-50.36666666666667
12,5.733333333333334,-7.234166666666665,-36.86666666666667
13,5.733333333333334,-12.389166666666663,-47.199999999999996
14,8.333333333333329,-14.611666666666665,-63.333333333333336
15,8.333333333333329,-9.230833333333331,-54.73333333333333
16,9.266666666666666,-7.244999999999999,-44.9
17,9.266666666666666,-8.481666666666666,-44.73333333333333
18,9.266666666666666,-10.059999999999999,-44.03333333333333
19,9.266666666666666,-8.897499999999999,-47.99999999999999
20,12.300000000000002,-7.508333333333333,-57.53333333333333
21,12.300000000000002,-7.991666666666665,-38.199999999999996
22,12.300000000000002,-7.797499999999999,-48.166666666666664
23,12.300000000000002,-8.424166666666665,-46.53333333333333
24,12.300000000000002,-7.158333333333333,-48.86666666666667
