generation,best,mean,worst
0,6.266666666666669,-11.679166666666665,-24.53333333333333
1,6.266666666666669,-1.2516666666666665,-19.366666666666667
2,6.266666666666669,-1.8266666666666662,-19.599999999999998
3,6.266666666666669,-0.46166666666666634,-19.400000000000002
4,6.266666666666669,-0.08416666666666614,-25.733333333333334
5,6.266666666666669,-0.37499999999999944,-19.366666666666667
6,6.266666666666669,-2.793333333333332,-21.63333333333333
7,6.400000000000003,0.15666666666666754,-19.5
8,6.500000000000004,-1.4116666666666655,-30.899999999999995
9,6.800000000000007,-0.9949999999999981,-23.03333333333333
10,6.966666666666672,-2.5424999999999978,-19.733333333333334
11,7.2000000000000055,-0.13999999999999746,-19.433333333333334
12,7.2666666666666755,-4.31833333333333,-32.666666666666664
13,7.2666666666666755,-6.361666666666665,-26.166666666666668
14,7.2666666666666755,-5.708333333333331,-34.0
15,7.2666666666666755,-3.599166666666664,-32.0
16,7.2666666666666755,-0.9933333333333298,-25.166666666666668
17,7.2666666666666755,-4.928333333333331,-31.53333333333333
18,7.2666666666666755,-5.659166666666664,-32.56666666666667
19,7.466666666666675,-6.670833333333332,-38.166666666666664
20,7.466666666666675,-2.4508333333333305,-32.4
21,7.533333333333342,-4.239166666666664,-37.23333333333333
22,7.533333333333342,-5.8458333333333306,-32.6
23,7.900000000000012,-2.5099999999999967,-32.03333333333333
24,12.06666666666667,-4.71583333333333,-31.799999999999994
