generation,best,mean
0,-18.099999999999998,-24.756666666666668
1,-7.466666666666668,-22.20916666666667
2,-4.066666666666667,-19.05
3,13.0,-16.430833333333332
4,13.0,-17.789166666666667
5,26.833333333333343,-12.444999999999999
6,27.633333333333344,-12.499166666666664
7,27.633333333333344,-10.635833333333332
8,33.50000000000001,-5.368333333333329
9,40.33333333333335,-1.1224999999999925
10,40.33333333333335,-3.0399999999999947
11,49.13333333333338,-2.624999999999994
12,49.13333333333338,-1.4124999999999932
13,49.13333333333338,-0.7199999999999918
14,49.13333333333338,1.2891666666666755
15,49.13333333333338,-0.385833333333326
16,49.13333333333338,1.893333333333342
17,49.13333333333338,3.02500000000001
18,51.500000000000036,5.794166666666676
19,51.500000000000036,6.044166666666676
20,54.83333333333337,6.925833333333347
21,55.63333333333335,9.235833333333346
22,55.63333333333335,7.671666666666677
23,55.63333333333335,8.738333333333344
24,55.63333333333335,2.689166666666676
