generation,best,mean,worst
0,7.733333333333327,-35.01,-66.39999999999998
1,7.733333333333327,-25.736666666666668,-69.56666666666666
2,7.733333333333327,-23.3325,-61.199999999999996
3,7.733333333333327,-26.32333333333333,-68.23333333333333
4,7.733333333333327,-23.87333333333333,-70.26666666666667
5,7.733333333333327,-20.152499999999996,-61.333333333333336
6,7.733333333333327,-21.066666666666663,-67.23333333333333
7,7.733333333333327,-21.31583333333333,-74.39999999999999
8,7.733333333333327,-19.889999999999997,-69.46666666666667
9,7.733333333333327,-18.57,-44.23333333333333
10,7.733333333333327,-21.631666666666668,-67.7
11,7.733333333333327,-19.22,-47.0
12,7.733333333333327,-17.839166666666664,-46.133333333333326
13,7.733333333333327,-20.549166666666668,-62.833333333333336
14,7.733333333333327,-24.94333333333333,-63.933333333333316
15,7.733333333333327,-20.12083333333333,-46.43333333333334
16,7.733333333333327,-18.203333333333333,-62.333333333333336
17,7.733333333333327,-21.651666666666664,-46.666666666666664
18,7.733333333333327,-20.110833333333336,-45.199999999999996
19,7.733333333333327,-21.49,-51.6
20,7.733333333333327,-21.660833333333336,-52.76666666666666
21,7.733333333333327,-19.69,-70.53333333333333
22,7.733333333333327,-18.638333333333332,-54.46666666666666
23,7.733333333333327,-18.039166666666667,-70.76666666666665
24,7.733333333333327,-20.093333333333334,-51.43333333333333
