generation,best,mean
0,21.42500000000001,-17.8775
1,21.42500000000001,-19.2075
2,21.42500000000001,-17.877499999999998
3,21.42500000000001,-16.884375
4,21.42500000000001,-15.481874999999997
5,21.42500000000001,-15.349374999999998
6,21.42500000000001,-17.593749999999996
7,21.42500000000001,-14.547499999999996
8,21.42500000000001,-14.722499999999997
9,21.42500000000001,-17.009999999999998
10,21.42500000000001,-15.095624999999995
11,21.42500000000001,-15.594999999999995
12,21.42500000000001,-15.026874999999995
13,21.42500000000001,-14.946249999999997
14,21.42500000000001,-12.668749999999996
15,21.42500000000001,-11.645624999999995
16,21.42500000000001,-14.821874999999995
17,21.42500000000001,-13.869999999999994
18,27.07500000000002,-15.639999999999997
19,27.07500000000002,-12.029999999999996
20,27.07500000000002,-15.995624999999995
21,27.07500000000002,-13.616249999999997
22,27.07500000000002,-11.914999999999996
23,27.07500000000002,-14.488124999999993
24,27.07500000000002,-12.439999999999994
