generation,best,mean,worst
0,-29.566666666666666,-31.704999999999995,-32.13333333333333
1,-22.833333333333332,-30.435833333333324,-32.1
2,-22.3,-29.285000000000004,-44.899999999999984
3,-21.666666666666668,-24.62083333333333,-31.39999999999998
4,-21.366666666666664,-22.315833333333334,-24.866666666666664
5,-20.866666666666667,-21.652499999999996,-22.5
6,-20.400000000000002,-21.304166666666667,-22.133333333333336
7,-20.400000000000002,-20.876666666666665,-21.8
8,-20.1,-20.749166666666667,-21.7
9,-19.966666666666665,-20.46,-21.133333333333333
10,-19.633333333333333,-20.3225,-21.900000000000002
11,-19.6,-19.90083333333333,-21.26666666666667
12,-19.6,-19.739166666666666,-20.76666666666667
13,-19.6,-19.71,-21.46666666666667
14,-19.6,-19.695,-20.433333333333334
15,-19.566666666666666,-19.811666666666667,-20.6
16,-19.566666666666666,-19.71166666666667,-20.6
17,-19.566666666666666,-19.805,-21.400000000000002
18,-19.566666666666666,-19.69166666666667,-20.333333333333332
19,-19.566666666666666,-19.811666666666667,-20.466666666666665
20,-19.566666666666666,-19.76666666666667,-20.900000000000002
21,-19.566666666666666,-19.686666666666667,-20.533333333333335
22,-19.566666666666666,-19.720000000000002,-20.400000000000002
23,-19.566666666666666,-19.636666666666667,-20.1
24,-19.566666666666666,-19.69166666666667,-20.366666666666667
