generation,best,mean,worst
0,5.999999999999999,-6.108333333333331,-19.2
1,6.733333333333339,-3.315833333333333,-47.23333333333333
2,6.733333333333339,-6.011666666666666,-31.733333333333334
3,6.733333333333339,-5.707499999999999,-31.599999999999998
4,6.733333333333339,-3.5416666666666656,-23.566666666666663
5,6.733333333333339,-2.3233333333333315,-31.06666666666666
6,6.733333333333339,-1.549166666666666,-28.89999999999999
7,6.733333333333339,-0.9658333333333328,-19.900000000000006
8,6.733333333333339,-1.808333333333333,-19.233333333333334
9,6.733333333333339,-6.659999999999999,-31.099999999999994
10,6.8999999999999995,-6.650833333333333,-51.96666666666667
11,8.866666666666669,-5.199166666666667,-32.0
12,12.0,-4.074999999999998,-31.766666666666666
13,12.0,-5.669999999999997,-24.599999999999994
14,12.0,-7.767499999999998,-35.666666666666664
15,12.0,-8.389166666666664,-47.300000000000004
16,12.0,-3.6941666666666655,-31.73333333333333
17,12.0,-4.469999999999999,-29.566666666666666
18,12.133333333333333,-4.8441666666666645,-44.133333333333326
19,12.133333333333333,-7.588333333333333,-42.96666666666666
20,12.133333333333333,-4.743333333333332,-30.999999999999986
21,12.133333333333333,-4.964999999999998,-36.53333333333333
22,12.133333333333333,-3.317499999999999,-43.23333333333332
23,12.133333333333333,-8.3325,-44.099999999999994
24,12.133333333333333,-2.9099999999999997,-37.73333333333333
